Eruption period	Comment	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total
Oct.14	AH_29_cpx1_1 	51.25	0.9209	3.59	8.19	0.215	15.91	18.07	0.2431	0.1974	0.0208	98.6072
Oct.14	AH_29_cpx1_2 	50.28	1.2492	4.26	8.37	0.2034	15.02	18.57	0.2592	0.1484	0.0222	98.3824
Oct.14	AH_29_cpx1_3 	51.9	0.7724	3.38	7.41	0.1803	16.1	18.53	0.2414	0.292	0.0392	98.8453
Oct.14	AH_29_cpx1_4 	50.87	1.0187	4.1	7.88	0.1901	15.33	18.91	0.2408	0.1948	0.0263	98.7607
Oct.14	AH_29_cpx1_5 	51.37	0.8965	3.68	7.45	0.2179	15.7	18.91	0.2593	0.2245	0.0298	98.738
Oct.14	AH_29_cpx1_6 	50.43	1.1128	4.3	8.18	0.2219	15.32	18.63	0.252	0.0831	0.0063	98.5361
Oct.14	AH_29_cpx1_7 	51.08	1.0846	4.12	8.11	0.1975	15.22	18.78	0.2292	0.1511	0.0073	98.9797
Oct.14	AH_29_cpx1_8 	51.36	0.8231	3.98	7.77	0.1918	15.65	18.48	0.2797	0.104	0.0178	98.6564
Oct.14	AH_29_cpx1_9 	51.76	0.6844	3.48	7	0.1672	16.07	19.11	0.265	0.271	0.0255	98.8331
Oct.14	AH_29_cpx1_10 	51.31	0.7489	3.85	7.05	0.1696	15.75	19.06	0.2631	0.2215	0.0303	98.4534
Oct.14	AH_29_cpx1_11 	51.42	0.74	3.79	7.01	0.1811	15.64	19.38	0.2433	0.2168	0.0294	98.6506
Oct.14	AH_29_cpx1_12 	51.82	0.6702	2.9	6.98	0.1807	15.98	19.79	0.2409	0.1737	0.0267	98.7622
Oct.14	AH_29_cpx1_13 	52.02	0.6595	2.92	7.11	0.1912	15.78	19.7	0.2393	0.1373	0.0222	98.7795
Oct.14	AH_29_cpx1_14 	51.96	0.6843	2.96	7.44	0.1829	15.74	19.83	0.2428	0.094	0.032	99.166
Oct.14	AH_29_cpx1_15 	51.67	0.7084	3.2	7.24	0.1751	15.58	19.63	0.2378	0.0913	0.0123	98.5449
Oct.14	AH_29_cpx2_1 	51.64	0.4166	1.6564	7.75	0.2183	17.99	16.67	0.1754	0.1629	0.0276	96.7072
Oct.14	AH_29_cpx2_2 	51.27	0.7381	3.7	7.24	0.194	15.67	19.23	0.2205	0.2916	0.0289	98.5831
Oct.14	AH_29_cpx2_3 	51.4	0.7484	3.72	7.6	0.1772	15.73	19.14	0.2639	0.1665	0.0095	98.9555
Oct.14	AH_29_cpx2_4 	51.04	0.7117	3.9	7.05	0.164	15.5	19.45	0.2586	0.224	0.0298	98.3281
Oct.14	AH_29_cpx2_5 	51.11	0.8119	3.8	7.71	0.1855	15.43	19.32	0.2496	0.1205	0.0164	98.7539
Oct.14	AH_29_cpx2_6 	51.29	0.7453	3.24	7.25	0.1899	15.52	19.99	0.2519	0.1596	0.0176	98.6543
Oct.14	AH_29_cpx2_7 	51.52	0.6666	2.92	7.71	0.2029	16.07	18.78	0.2492	0.1183	0.0184	98.2554
Oct.14	AH_29_cpx2_8 	52.1	0.6465	2.67	6.88	0.1645	15.68	20.33	0.2202	0.1206	0.0095	98.8213
Oct.14	AH_29_cpx2_9 	51.98	0.5934	2.45	7.1	0.1725	15.95	19.92	0.2435	0.1097	0.0264	98.5455
Oct.14	AH_29_cpx2_10 	51.7	0.7031	2.82	7.2	0.1889	15.55	20.18	0.2235	0.0968	0.0265	98.6888
Oct.14	AH_29_cpx3_1 	52.51	0.5367	2.53	7.36	0.1989	17.19	18.1	0.2075	0.2189	0.0167	98.8687
Oct.14	AH_29_cpx3_2 	52.6	0.527	2.5	7.91	0.2224	17.23	17.62	0.2091	0.1583	0.0133	98.9901
Oct.14	AH_29_cpx3_3 	51.14	0.776	3.88	7.93	0.1902	16.21	17.97	0.2272	0.2214	0.0111	98.5559
Oct.14	AH_29_cpx3_4 	51.24	0.7333	3.69	7.35	0.1889	15.6	19.34	0.2783	0.1953	0.0052	98.621
